month,bnf_chemical_name,monthly_items
2022-12-01,Atomoxetine,165
2022-12-01,Dexamfetamine,1988
2022-12-01,Guanfacine,68
2022-12-01,Lisdexamfetamine,13225
2022-12-01,Methylphenidate,13145
2023-01-01,All chemicals,31143
2023-01-01,Atomoxetine,248
2023-01-01,Dexamfetamine,2106
2023-01-01,Guanfacine,132
2023-01-01,Lisdexamfetamine,14586
2023-01-01,Methylphenidate,14071
2023-02-01,All chemicals,23518
2023-02-01,Atomoxetine,181
2023-02-01,Dexamfetamine,1498
2023-02-01,Guanfacine,87
2023-02-01,Lisdexamfetamine,10872
2023-02-01,Methylphenidate,10880
2023-03-01,All chemicals,34370
2023-03-01,Atomoxetine,32
2023-03-01,Dexamfetamine,2434
2023-03-01,Guanfacine,15
2023-03-01,Lisdexamfetamine,16430
2023-03-01,Methylphenidate,15459
2023-04-01,All chemicals,17751
2023-04-01,Atomoxetine,15
2023-04-01,Dexamfetamine,1246
2023-04-01,Guanfacine,2
2023-04-01,Lisdexamfetamine,7966
2023-04-01,Methylphenidate,8522
2023-05-01,All chemicals,33649
2023-05-01,Atomoxetine,11
2023-05-01,Dexamfetamine,2482
2023-05-01,Guanfacine,7
2023-05-01,Lisdexamfetamine,15898
2023-05-01,Methylphenidate,15251
2023-06-01,All chemicals,34001
2023-06-01,Atomoxetine,31
2023-06-01,Dexamfetamine,2631
2023-06-01,Guanfacine,47
2023-06-01,Lisdexamfetamine,16368
2023-06-01,Methylphenidate,14924
2023-07-01,All chemicals,37790
2023-07-01,Atomoxetine,39
2023-07-01,Dexamfetamine,3046
2023-07-01,Guanfacine,43
2023-07-01,Lisdexamfetamine,17836
2023-07-01,Methylphenidate,16826
2023-08-01,All chemicals,31548
2023-08-01,Atomoxetine,9
2023-08-01,Dexamfetamine,2342
2023-08-01,Guanfacine,12
2023-08-01,Lisdexamfetamine,16293
2023-08-01,Methylphenidate,12892
2023-09-01,All chemicals,27603
2023-09-01,Atomoxetine,5
2023-09-01,Dexamfetamine,2219
2023-09-01,Guanfacine,10
2023-09-01,Lisdexamfetamine,12190
2023-09-01,Methylphenidate,13179
2023-10-01,All chemicals,39278
2023-10-01,Atomoxetine,2
2023-10-01,Dexamfetamine,4606
2023-10-01,Guanfacine,2
2023-10-01,Lisdexamfetamine,12156
2023-10-01,Methylphenidate,22512
2023-11-01,All chemicals,27334
2023-11-01,Atomoxetine,51
2023-11-01,Dexamfetamine,4113
2023-11-01,Guanfacine,16
2023-11-01,Lisdexamfetamine,4591
2023-11-01,Methylphenidate,18563
2023-12-01,All chemicals,34053
