estimate_year,source_workbook,icb_name,population
2014,ons_pop_estimates_2011-2022.xlsx,NHS Hampshire and Isle of Wight Integrated Care Board,1768435
2014,ons_pop_estimates_2011-2022.xlsx,NHS Herefordshire and Worcestershire Integrated Care Board,764255
2014,ons_pop_estimates_2011-2022.xlsx,NHS Hertfordshire and West Essex Integrated Care Board,1437522
2014,ons_pop_estimates_2011-2022.xlsx,NHS Humber and North Yorkshire Integrated Care Board,1674914
2014,ons_pop_estimates_2011-2022.xlsx,NHS Kent and Medway Integrated Care Board,1780164
2014,ons_pop_estimates_2011-2022.xlsx,NHS Lancashire and South Cumbria Integrated Care Board,1661888
2014,ons_pop_estimates_2011-2022.xlsx,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",1046623
2014,ons_pop_estimates_2011-2022.xlsx,NHS Lincolnshire Integrated Care Board,732981
2014,ons_pop_estimates_2011-2022.xlsx,NHS Mid and South Essex Integrated Care Board,1158585
2014,ons_pop_estimates_2011-2022.xlsx,NHS Norfolk and Waveney Integrated Care Board,992235
2014,ons_pop_estimates_2011-2022.xlsx,NHS North Central London Integrated Care Board,1405175
2014,ons_pop_estimates_2011-2022.xlsx,NHS North East London Integrated Care Board,1880804
2014,ons_pop_estimates_2011-2022.xlsx,NHS North East and North Cumbria Integrated Care Board,2928325
2014,ons_pop_estimates_2011-2022.xlsx,NHS North West London Integrated Care Board,2054435
2014,ons_pop_estimates_2011-2022.xlsx,NHS Northamptonshire Integrated Care Board,721673
2014,ons_pop_estimates_2011-2022.xlsx,NHS Nottingham and Nottinghamshire Integrated Care Board,1109706
2014,ons_pop_estimates_2011-2022.xlsx,"NHS Shropshire, Telford and Wrekin Integrated Care Board",480046
2014,ons_pop_estimates_2011-2022.xlsx,NHS Somerset Integrated Care Board,544312
2014,ons_pop_estimates_2011-2022.xlsx,NHS South East London Integrated Care Board,1738184
2014,ons_pop_estimates_2011-2022.xlsx,NHS South West London Integrated Care Board,1468594
2014,ons_pop_estimates_2011-2022.xlsx,NHS South Yorkshire Integrated Care Board,1356290
2014,ons_pop_estimates_2011-2022.xlsx,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1109707
2014,ons_pop_estimates_2011-2022.xlsx,NHS Suffolk and North East Essex Integrated Care Board,945615
2014,ons_pop_estimates_2011-2022.xlsx,NHS Surrey Heartlands Integrated Care Board,1016738
2014,ons_pop_estimates_2011-2022.xlsx,NHS Sussex Integrated Care Board,1647545
2014,ons_pop_estimates_2011-2022.xlsx,NHS West Yorkshire Integrated Care Board,2319140
2015,ons_pop_estimates_2011-2022.xlsx,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",898199
2015,ons_pop_estimates_2011-2022.xlsx,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",934640
2015,ons_pop_estimates_2011-2022.xlsx,NHS Birmingham and Solihull Integrated Care Board,1326629
2015,ons_pop_estimates_2011-2022.xlsx,NHS Black Country Integrated Care Board,1173921
2015,ons_pop_estimates_2011-2022.xlsx,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",934532
2015,ons_pop_estimates_2011-2022.xlsx,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",1690868
2015,ons_pop_estimates_2011-2022.xlsx,NHS Cambridgeshire and Peterborough Integrated Care Board,870455
2015,ons_pop_estimates_2011-2022.xlsx,NHS Cheshire and Merseyside Integrated Care Board,2445540
2015,ons_pop_estimates_2011-2022.xlsx,NHS Cornwall and the Isles of Scilly Integrated Care Board,549572
2015,ons_pop_estimates_2011-2022.xlsx,NHS Coventry and Warwickshire Integrated Care Board,892583
2015,ons_pop_estimates_2011-2022.xlsx,NHS Derby and Derbyshire Integrated Care Board,1034779
2015,ons_pop_estimates_2011-2022.xlsx,NHS Devon Integrated Care Board,1164950
2015,ons_pop_estimates_2011-2022.xlsx,NHS Dorset Integrated Care Board,763227
2015,ons_pop_estimates_2011-2022.xlsx,NHS Frimley Integrated Care Board,739475
2015,ons_pop_estimates_2011-2022.xlsx,NHS Gloucestershire Integrated Care Board,617671
2015,ons_pop_estimates_2011-2022.xlsx,NHS Greater Manchester Integrated Care Board,2756962
2015,ons_pop_estimates_2011-2022.xlsx,NHS Hampshire and Isle of Wight Integrated Care Board,1781095
2015,ons_pop_estimates_2011-2022.xlsx,NHS Herefordshire and Worcestershire Integrated Care Board,768243
2015,ons_pop_estimates_2011-2022.xlsx,NHS Hertfordshire and West Essex Integrated Care Board,1451377
2015,ons_pop_estimates_2011-2022.xlsx,NHS Humber and North Yorkshire Integrated Care Board,1676973
2015,ons_pop_estimates_2011-2022.xlsx,NHS Kent and Medway Integrated Care Board,1793053
2015,ons_pop_estimates_2011-2022.xlsx,NHS Lancashire and South Cumbria Integrated Care Board,1668205
2015,ons_pop_estimates_2011-2022.xlsx,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",1059406
2015,ons_pop_estimates_2011-2022.xlsx,NHS Lincolnshire Integrated Care Board,738351
2015,ons_pop_estimates_2011-2022.xlsx,NHS Mid and South Essex Integrated Care Board,1165495
2015,ons_pop_estimates_2011-2022.xlsx,NHS Norfolk and Waveney Integrated Care Board,998295
2015,ons_pop_estimates_2011-2022.xlsx,NHS North Central London Integrated Care Board,1420919
2015,ons_pop_estimates_2011-2022.xlsx,NHS North East London Integrated Care Board,1915093
2015,ons_pop_estimates_2011-2022.xlsx,NHS North East and North Cumbria Integrated Care Board,2929837
2015,ons_pop_estimates_2011-2022.xlsx,NHS North West London Integrated Care Board,2078436
2015,ons_pop_estimates_2011-2022.xlsx,NHS Northamptonshire Integrated Care Board,733189
2015,ons_pop_estimates_2011-2022.xlsx,NHS Nottingham and Nottinghamshire Integrated Care Board,1115915
2015,ons_pop_estimates_2011-2022.xlsx,"NHS Shropshire, Telford and Wrekin Integrated Care Board",483649
2015,ons_pop_estimates_2011-2022.xlsx,NHS Somerset Integrated Care Board,548792
2015,ons_pop_estimates_2011-2022.xlsx,NHS South East London Integrated Care Board,1763603
2015,ons_pop_estimates_2011-2022.xlsx,NHS South West London Integrated Care Board,1481494
2015,ons_pop_estimates_2011-2022.xlsx,NHS South Yorkshire Integrated Care Board,1359690
2015,ons_pop_estimates_2011-2022.xlsx,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1111262
2015,ons_pop_estimates_2011-2022.xlsx,NHS Suffolk and North East Essex Integrated Care Board,953917
2015,ons_pop_estimates_2011-2022.xlsx,NHS Surrey Heartlands Integrated Care Board,1023269
2015,ons_pop_estimates_2011-2022.xlsx,NHS Sussex Integrated Care Board,1660505
2015,ons_pop_estimates_2011-2022.xlsx,NHS West Yorkshire Integrated Care Board,2334610
2016,ons_pop_estimates_2011-2022.xlsx,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",908282
2016,ons_pop_estimates_2011-2022.xlsx,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",949976
2016,ons_pop_estimates_2011-2022.xlsx,NHS Birmingham and Solihull Integrated Care Board,1344332
2016,ons_pop_estimates_2011-2022.xlsx,NHS Black Country Integrated Care Board,1184454
2016,ons_pop_estimates_2011-2022.xlsx,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",948056
2016,ons_pop_estimates_2011-2022.xlsx,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",1710406
2016,ons_pop_estimates_2011-2022.xlsx,NHS Cambridgeshire and Peterborough Integrated Care Board,881914
2016,ons_pop_estimates_2011-2022.xlsx,NHS Cheshire and Merseyside Integrated Care Board,2461826
2016,ons_pop_estimates_2011-2022.xlsx,NHS Cornwall and the Isles of Scilly Integrated Care Board,553439
2016,ons_pop_estimates_2011-2022.xlsx,NHS Coventry and Warwickshire Integrated Care Board,903689
2016,ons_pop_estimates_2011-2022.xlsx,NHS Derby and Derbyshire Integrated Care Board,1039840
2016,ons_pop_estimates_2011-2022.xlsx,NHS Devon Integrated Care Board,1174412
2016,ons_pop_estimates_2011-2022.xlsx,NHS Dorset Integrated Care Board,769482
2016,ons_pop_estimates_2011-2022.xlsx,NHS Frimley Integrated Care Board,748219
2016,ons_pop_estimates_2011-2022.xlsx,NHS Gloucestershire Integrated Care Board,624076
2016,ons_pop_estimates_2011-2022.xlsx,NHS Greater Manchester Integrated Care Board,2784566
2016,ons_pop_estimates_2011-2022.xlsx,NHS Hampshire and Isle of Wight Integrated Care Board,1795367
2016,ons_pop_estimates_2011-2022.xlsx,NHS Herefordshire and Worcestershire Integrated Care Board,774187
2016,ons_pop_estimates_2011-2022.xlsx,NHS Hertfordshire and West Essex Integrated Care Board,1466762
